Amazon COGS,Completed On,Disposition,LPN,Product,Product Category,Result of Repair,Scheduled Date,Shipped Date,Started On,LPN/Amazon COGS,Checks/Title,Checks/Failed by decision logic Automatically,Checks/Status,is_human_executed,Is_it_IOG_Es_IOG,Send_to_Problem_Solve_Enviar_a_Problem_Solve,Is_there_something_in_the_box_Hay_algo_en_la_caja,Send_to_Liquidation_Palletizer_Enviar_a_paletizado,Open_T_Rex_Abrir_T_Rex,Did_T_Rex_Open_Se_abri_T_Rex,Is_it_the_Expected_Item_Es_el_art_culo_esperado,Is_it_Fraud_Es_fraude,Complete_T_Rex_Liquidation_Completa_el_proceso_de_,Is_the_Item_Factory_Sealed_El_art_culo_est_sellado,Complete_T_Rex_Sellable_Completar_T_Rex_Sellable,Does_the_item_need_to_be_Destroyed_El_art_culo_nec,Does_the_item_have_scratches_or_dents_larger_that_,Does_the_item_work_El_art_culo_funciona,Is_the_item_Repairable_El_art_culo_es_reparable,Send_to_Level_3_Enviar_a_Nivel_3,Does_it_need_Parts_Necesita_partes,Do_you_have_parts_Tienes_las_partes,Does_it_need_Sanitization_Necesita_sanitizaci_n,Add_the_Parts_A_ade_las_partes,Place_on_Level_2_Pallet_Colocar_en_pallet_de_Nivel,DONE,Palletize_the_item_Paletizar_el_art_culo,Are_you_using_the_Original_Box_Est_usando_la_caja_,Did_you_add_a_Manual_A_adiste_el_manual,Place_the_item_in_a_New_Box_Coloque_el_art_culo_en,Open_Trex_Abrir_Trex,Did_it_fix_the_item_Se_repar_el_art_culo,Does_it_need_Sanization_Necesita_sanitizaci_n,Palletize_the_item_Coloca_el_art_culo_en_el_pallet,Is_the_item_factory_Sealed_El_art_culo_est_sellado,Is_it_the_expected_item_Es_el_art_culo_esperado,Is_it_Fraud_Es_Fraude,Did_you_do_a_Factory_Reset_Hiciste_un_restablecimi,Does_it_need_parts_Necesita_partes,Did_you_use_Harvested_Parts_Has_usado_Harvested_Pa,Were_you_able_fix_the_item_Repar_el_art_culo,Are_you_using_Harvested_Parts_Est_usando_Harvested,Does_it_need_a_manual_Necesita_manual,Will_you_be_using_ONLY_Harvested_Parts_Utilizar_s_,Does_it_Need_a_Manual_Necesita_un_manual,Does_it_need_a_Manual_Necesita_manual,Does_it_Need_a_Manual_Necesita_manual,Does_the_item_have_scratches_or_dents_larger_than_,is_liquidated,cogs_bin,processing_days
1952.99,2025-09-10 14:52:05,Sellable,LPNPMBF9981266,[B0F1Z394D9] 16Z90TP-K.AAW4U1,All / Amazon Products / 0201 Laptops,Sellable - Repaired - RPR,2025-08-25 10:33:42,2025-09-12 11:47:53,2025-09-09 16:07:39,1952.99,Print LPN Label / Imprimir etiqueta LPN,,Passed,True,Failed,Failed,Passed,Failed,Failed,Passed,Passed,Failed,Failed,Failed,Failed,Failed,Failed,Passed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Passed,Failed,Passed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,,,,,,,,,,,,,,0,$1.5K-$2K,0.0
1916.16,2025-09-08 09:16:24,Sellable,LPNNE5XNJM245,[B073TYYM91] Breville BES990BSS/F,All / Amazon Products / 4602 Espresso Machines,Sellable - Repaired - RPR,2025-09-05 10:21:11,2025-09-22 08:40:51,2025-08-22 14:23:26,1916.16,Print LPN label / Imprimir etiqueta LPN,,Passed,True,Failed,Failed,Passed,Failed,Failed,Passed,,,Failed,Failed,Failed,Failed,Failed,Passed,Failed,Failed,Passed,Failed,Passed,Failed,Failed,Passed,Failed,Passed,Failed,Failed,,,Failed,,Failed,Passed,Failed,Failed,Failed,Passed,Failed,,,,,,,,0,$1.5K-$2K,16.0
1105.46,2025-09-02 11:02:17,Sellable,LPNNC5BSN5W39,[B0C1T4W797] Breville BES881BSS1BNA1,All / Amazon Products / 4602 Espresso Machines,Sellable - Repaired - RPR,2025-08-29 08:37:51,2025-09-03 09:23:27,,1105.46,Print LPN label / Imprimir etiqueta LPN,,Passed,True,Failed,Failed,Passed,Failed,Failed,Passed,,,Failed,Failed,Failed,Failed,Failed,Passed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Passed,Failed,Passed,Failed,Failed,,,Failed,,Failed,Passed,Failed,Failed,Failed,Failed,Failed,,,,,,,,0,$1K-$1.5K,
1036.92,2025-09-04 13:16:05,Liquidate,LPNNC5JSKWYVF,[B08DYW417W] iRobot 4720096,All / Amazon Products / 7004 Robotic Vacuums & Accessories,Liquidate - Cosmetic - NRC,2025-08-28 08:28:17,2025-09-08 16:31:42,2025-09-04 13:15:40,1036.92,Print LPN label / Imprimir etiqueta LPN,,Passed,True,Failed,Failed,Passed,Failed,Failed,Passed,,,Failed,Failed,Failed,Failed,Passed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,,,Failed,,Failed,Passed,Failed,Failed,Failed,,Failed,Failed,Failed,Failed,Failed,Failed,Failed,,1,$1K-$1.5K,0.0
1224.49,2025-10-29 13:38:49,Sellable,LPNPMEG1669217,[B0DZXFNVQ2] ECOVACS DEEBOT X9 PRO OMNI,All / Amazon Products / 7004 Robotic Vacuums & Accessories,Sellable - Repaired - RPR,2025-09-18 15:08:57,2025-10-31 08:02:46,2025-08-21 11:42:34,1224.49,Print LPN label / Imprimir etiqueta LPN,,Passed,True,Failed,Failed,Passed,Failed,Passed,Passed,,,Failed,Failed,Passed,Failed,Failed,Passed,Failed,Failed,Passed,Passed,Failed,Passed,Passed,Passed,Passed,Failed,Failed,Passed,,,Passed,,Failed,Passed,Failed,Failed,Failed,Failed,,,,,,,,,0,$1K-$1.5K,69.0
1066.49,2025-09-08 07:14:00,Sellable,LPNNH4DPWBHWB,[B0DR8NJMCJ] ECOVACS DEEBOT X8 PRO OMNI,All / Amazon Products / 7004 Robotic Vacuums & Accessories,Sellable - Repaired - RPR,2025-09-04 10:41:30,2025-09-12 10:19:30,2025-09-04 10:41:30,1066.49,Print LPN label / Imprimir etiqueta LPN,,Passed,True,Failed,Failed,Passed,Failed,Failed,Passed,,,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Passed,Failed,Failed,Failed,Passed,,,Failed,,Failed,Passed,Failed,Passed,Passed,Failed,Failed,,,,,,,,0,$1K-$1.5K,3.0
1066.49,2025-09-09 12:58:24,Sellable,LPNNA5XKSYKP1,[B0DR8NJMCJ] ECOVACS DEEBOT X8 PRO OMNI,All / Amazon Products / 7004 Robotic Vacuums & Accessories,Sellable - Repaired - RPR,2025-09-04 11:19:15,2025-09-16 15:09:31,2025-09-04 11:19:15,1066.49,Print LPN label / Imprimir etiqueta LPN,,Passed,True,Failed,Failed,Passed,Failed,Failed,Passed,,,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Passed,Failed,Passed,Failed,Failed,,,Failed,,Failed,Passed,Failed,Passed,Passed,Failed,Failed,,,,,,,,0,$1K-$1.5K,5.0
1224.49,2025-09-09 09:45:52,Sellable,LPNNE5Q8GWRC8,[B0DZXFNVQ2] ECOVACS DEEBOT X9 PRO OMNI,All / Amazon Products / 7004 Robotic Vacuums & Accessories,Sellable - Repaired - RPR,2025-09-04 10:29:51,2025-09-16 15:09:31,2025-09-04 10:29:51,1224.49,Print LPN label / Imprimir etiqueta LPN,,Passed,True,Failed,Failed,Passed,Failed,Failed,Passed,,,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Passed,Failed,Passed,Failed,Failed,,,Failed,,Failed,Passed,Failed,Passed,Passed,Failed,Failed,,,,,,,,0,$1K-$1.5K,4.0
1224.49,2025-09-16 11:28:05,Liquidate,LPNNA5KTW629P,[B0DZXFNVQ2] ECOVACS DEEBOT X9 PRO OMNI,All / Amazon Products / 7004 Robotic Vacuums & Accessories,Liquidate - Advanced Fraud - Fake - Not Authentic - NRD,2025-09-09 13:32:04,2025-09-19 08:41:58,2025-09-09 13:32:04,1224.49,Print LPN label / Imprimir etiqueta LPN,,Passed,True,Failed,Failed,Passed,Failed,Failed,Passed,,,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,,,Failed,,Failed,Failed,Passed,Failed,Failed,Failed,Failed,,,,,,,,1,$1K-$1.5K,6.0
1124.99,2025-09-16 11:32:23,Liquidate,LPNPMCE7133094,[B0CDPJ2C94] ECOVACS OZMOX2M,All / Amazon Products / 7004 Robotic Vacuums & Accessories,Liquidate - Advanced Fraud - Fake - Not Authentic - NRD,2025-09-09 13:30:43,2025-09-19 08:41:58,2025-09-09 13:30:44,1124.99,Print LPN label / Imprimir etiqueta LPN,,Passed,True,Failed,Failed,Passed,Failed,Failed,Passed,,,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,,,Failed,,Failed,Failed,Passed,Failed,Failed,Failed,Failed,,,,,,,,1,$1K-$1.5K,6.0
4124.25,2025-09-16 11:49:17,Liquidate,LPNPMEL4569892,[B087X8KT7Y] Simrad 000-15404-001,All / Amazon Products / 7404 Boating Electrical Products,Liquidate - Advanced Fraud - Fake - Not Authentic - NRD,2025-09-09 13:45:40,2025-09-19 08:41:58,2025-09-09 13:45:40,4124.25,Print LPN label / Imprimir etiqueta LPN,,Passed,True,Failed,Failed,Passed,Failed,Failed,Passed,,,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,,,Failed,,Failed,Failed,Passed,Failed,Failed,Failed,Failed,,,,,,,,1,$3K+,6.0
2726.0,2025-10-10 09:40:21,Sellable,LPNPMDY4885327,[B0DW1FVPK8] ASUS ROG Strix G16,All / Amazon Products / 0209 Gaming Laptops,Sellable - Repaired - RPR,2025-10-09 12:15:41,2025-10-14 10:24:54,2025-08-16 08:57:37,2726.0,Print LPN Label / Imprimir etiqueta LPN,,Passed,True,Failed,,Passed,,Passed,Passed,Passed,,,Failed,Passed,Failed,Failed,Passed,,,Failed,,Passed,,,Passed,,Failed,Failed,Passed,,,,,Failed,,,,,,,,,,,,,,0,$2.5K-$3K,55.0
1105.46,2025-09-17 10:23:58,Liquidate,LPNNH4KTQJQ2W,[B0C1T4W797] Breville BES881BSS1BNA1,All / Amazon Products / 4602 Espresso Machines,Liquidate - Cosmetic - NRC,2025-09-15 16:48:36,2025-09-19 08:41:58,2025-09-15 16:48:36,1105.46,Print LPN label / Imprimir etiqueta LPN,,Passed,True,Failed,Failed,Passed,Failed,Failed,Passed,,,Failed,Failed,Failed,Failed,Passed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,,,Failed,,Failed,Passed,Failed,Failed,Failed,Failed,Failed,,,,,,,,1,$1K-$1.5K,1.0
1263.5,2025-09-15 16:49:48,Sellable,LPNNA5DQ9BSG3,[B0CWYJH3MQ] Bosch TPU60309,All / Amazon Products / 4602 Espresso Machines,Sellable - Repaired - RPR,2025-09-08 09:39:56,2025-09-22 15:08:53,2025-08-15 14:42:32,1263.5,Print LPN label / Imprimir etiqueta LPN,,Passed,True,Failed,Failed,Passed,Failed,Failed,Passed,,,Failed,Failed,Failed,Failed,Failed,Passed,Failed,Failed,Passed,Failed,Passed,Failed,Failed,Passed,Failed,Failed,Failed,Passed,,,Failed,,Failed,Passed,Failed,Failed,Failed,Passed,Failed,,,,,,,,0,$1K-$1.5K,31.0
1201.0,2025-09-03 09:31:22,Liquidate,LPNNE5T51ZGMV,[B0DKD1RZVK] YOPTO,All / Amazon Products / 5003 Upholstered Sofas/Sectionals/Armchairs,Liquidate - Functional Issues - NRF,2025-09-03 09:18:52,2025-09-08 16:29:05,2025-08-15 11:31:41,1201.0,Print LPN label / Imprimir etiqueta LPN,,Passed,True,Failed,Failed,Passed,Failed,Failed,Passed,,,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,,,Failed,,Failed,Passed,Failed,Failed,Failed,Failed,Failed,,,,,,,,1,$1K-$1.5K,18.0
1224.49,2025-09-05 13:59:52,Sellable,LPNNE5WMB5KP1,[B0DZXFNVQ2] ECOVACS DEEBOT X9 PRO OMNI,All / Amazon Products / 7004 Robotic Vacuums & Accessories,Sellable - Repaired - RPR,2025-09-04 10:26:27,2025-09-12 10:19:30,2025-08-14 09:51:38,1224.49,Print LPN label / Imprimir etiqueta LPN,,Passed,True,Failed,Failed,Passed,Failed,Failed,Passed,,,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Passed,Failed,Passed,Failed,Failed,,,Failed,,Failed,Passed,Failed,Passed,Passed,Failed,Failed,,,,,,,,0,$1K-$1.5K,22.0
1224.49,2025-09-08 16:38:27,Sellable,LPNNE5YZ9JXJT,[B0DZXFNVQ2] ECOVACS DEEBOT X9 PRO OMNI,All / Amazon Products / 7004 Robotic Vacuums & Accessories,Sellable - Repaired - RPR,2025-09-04 10:21:01,2025-09-16 15:09:31,2025-08-14 07:52:46,1224.49,Print LPN label / Imprimir etiqueta LPN,,Passed,True,Failed,Failed,Passed,Failed,Failed,Passed,,,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Passed,Failed,Passed,Failed,Failed,,,Failed,,Failed,Passed,Failed,Passed,Passed,Failed,Failed,,,,,,,,0,$1K-$1.5K,25.0
1224.49,2025-09-10 10:52:19,Sellable,LPNNA5S56PPHD,[B0DZXFNVQ2] ECOVACS DEEBOT X9 PRO OMNI,All / Amazon Products / 7004 Robotic Vacuums & Accessories,Sellable - Repaired - RPR,2025-09-04 12:31:53,2025-09-17 14:00:49,2025-08-14 09:47:34,1224.49,Print LPN label / Imprimir etiqueta LPN,,Passed,True,Failed,Failed,Passed,Failed,Failed,Passed,,,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Passed,Failed,Passed,Failed,Failed,,,Failed,,Failed,Passed,Failed,Passed,Passed,Failed,Failed,,,,,,,,0,$1K-$1.5K,27.0
1066.49,2025-09-10 10:47:57,Sellable,LPNNE544K1Y6G,[B0DR8NJMCJ] ECOVACS DEEBOT X8 PRO OMNI,All / Amazon Products / 7004 Robotic Vacuums & Accessories,Sellable - Repaired - RPR,2025-09-04 10:54:57,2025-09-17 14:00:49,2025-08-14 07:36:44,1066.49,Print LPN label / Imprimir etiqueta LPN,,Passed,True,Failed,Failed,Passed,Failed,Failed,Passed,,,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Passed,Failed,Passed,Failed,Failed,,,Failed,,Failed,Passed,Failed,Passed,Passed,Failed,Failed,,,,,,,,0,$1K-$1.5K,27.0
1783.99,2025-10-02 15:37:12,Sellable,LPNPMDP5537286,[B098W54HXG] Spektrum SPMR20110,All / Amazon Products / 9540 Radio Control Vehicles Ground,Sellable - Repaired - RPR,2025-10-02 13:00:01,2025-10-03 10:29:17,2025-08-13 12:41:55,1783.99,Print LPN label / Imprimir etiqueta LPN,,Passed,True,Failed,,Passed,,Passed,Passed,,,,Failed,Passed,Failed,Failed,Passed,,,,Passed,,Passed,Passed,Passed,Passed,Failed,Passed,Passed,,,Failed,,Failed,Passed,,Passed,Passed,,,,,,,,,,0,$1.5K-$2K,50.0
1099.0,2025-09-09 14:23:49,Liquidate,LPNNE59CH5G1B,[B08H5X1WZ9] Fluidra 9650IQ,All / Amazon Products / 52020 Cleaning Tools,Liquidate - Functional Issues - NRF,2025-09-05 14:04:21,2025-09-12 16:03:38,2025-08-13 09:16:07,1099.0,Print LPN label / Imprimir etiqueta LPN,,Passed,True,Failed,Failed,Passed,Failed,Failed,Passed,,,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,,,Failed,,Failed,Passed,Failed,Failed,Failed,Failed,Failed,,,,,,,,1,$1K-$1.5K,27.0
1043.14,2025-09-11 12:44:32,Liquidate,LPNNC584C2RBL,[B00HYZHI86] Fluidra F9450,All / Amazon Products / 52020 Cleaning Tools,Liquidate - Functional Issues - NRF,2025-09-11 08:21:11,2025-09-15 14:21:39,2025-08-13 07:52:25,1043.14,Print LPN label / Imprimir etiqueta LPN,,Passed,True,Failed,Failed,Passed,Failed,Failed,Passed,,,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,,,Failed,,Failed,Passed,Failed,Failed,Failed,Failed,Failed,,,,,,,,1,$1K-$1.5K,29.0
1201.0,2025-11-06 10:55:04,Liquidate,LPNNE5R6W1N78,[B0DKD2P98G] YOPTO YOPTO,All / Amazon Products / 5003 Upholstered Sofas/Sectionals/Armchairs,Wrong Item Description - NRM,2025-11-05 13:24:18,2025-11-07 11:55:29,2025-08-12 14:18:47,1201.0,Print LPN label / Imprimir etiqueta LPN,,Passed,True,Failed,,Passed,,Passed,Passed,,,Passed,,,,,,,,,,,,,,Passed,,,,,,,,,Failed,Failed,,,,,,,,,,,,1,$1K-$1.5K,85.0
1224.49,2025-09-08 16:38:07,Sellable,LPNNE5C4FT3F5,[B0DZXFNVQ2] ECOVACS DEEBOT X9 PRO OMNI,All / Amazon Products / 7004 Robotic Vacuums & Accessories,Sellable - Repaired - RPR,2025-09-04 10:39:20,2025-09-16 15:09:31,2025-08-13 13:41:11,1224.49,Print LPN label / Imprimir etiqueta LPN,,Passed,True,Failed,Failed,Passed,Failed,Failed,Passed,,,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Passed,Failed,Passed,Failed,Failed,,,Failed,,Failed,Passed,Failed,Passed,Passed,Failed,Failed,,,,,,,,0,$1K-$1.5K,26.0
1224.49,2025-09-08 07:06:13,Sellable,LPNNE5RSHQ3VF,[B0DZXFNVQ2] ECOVACS DEEBOT X9 PRO OMNI,All / Amazon Products / 7004 Robotic Vacuums & Accessories,Sellable - Repaired - RPR,2025-09-04 10:33:45,2025-09-12 10:19:30,2025-08-13 13:21:28,1224.49,Print LPN label / Imprimir etiqueta LPN,,Passed,True,Failed,Failed,Passed,Failed,Failed,Passed,,,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Passed,Failed,Passed,Failed,Failed,,,Failed,,Failed,Passed,Failed,Passed,Passed,Failed,Failed,,,,,,,,0,$1K-$1.5K,25.0
1066.49,2025-09-08 15:58:57,Sellable,LPNNE5Z5581XG,[B0DR8NJMCJ] ECOVACS DEEBOT X8 PRO OMNI,All / Amazon Products / 7004 Robotic Vacuums & Accessories,Sellable - Repaired - RPR,2025-09-04 11:13:13,2025-09-16 15:09:31,2025-08-12 12:39:23,1066.49,Print LPN label / Imprimir etiqueta LPN,,Passed,True,Failed,Failed,Passed,Failed,Failed,Passed,,,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Passed,Failed,Passed,Failed,Failed,,,Failed,,Failed,Passed,Failed,Passed,Passed,Failed,Failed,,,,,,,,0,$1K-$1.5K,27.0
1224.49,2025-09-09 12:16:35,Sellable,LPNNA5RSJ5GC2,[B0DZXFNVQ2] ECOVACS DEEBOT X9 PRO OMNI,All / Amazon Products / 7004 Robotic Vacuums & Accessories,Sellable - Repaired - RPR,2025-09-04 10:50:01,2025-09-16 15:09:31,2025-08-12 10:47:51,1224.49,Print LPN label / Imprimir etiqueta LPN,,Passed,True,Failed,Failed,Passed,Failed,Failed,Passed,,,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Passed,Failed,Passed,Failed,Failed,,,Failed,,Failed,Passed,Failed,Passed,Passed,Failed,Failed,,,,,,,,0,$1K-$1.5K,28.0
1124.99,2025-11-05 14:28:51,Sellable,LPNPMDX8529941,[B0DHJ8B7TP] LS32DG800SNXZA,All / Amazon Products / 0510 LCD Monitors,Sellable - Repaired - RPR,2025-11-03 18:08:25,2025-11-06 10:34:26,2025-08-11 15:14:07,1124.99,Print LPN Label / Imprimir etiqueta LPN,,Passed,True,Failed,,Passed,,Passed,Passed,Passed,,,Failed,Passed,Failed,,Passed,,,Passed,Passed,Passed,Passed,,Passed,,Failed,Passed,Passed,,,,,,,,,,,,,,,,,,Failed,0,$1K-$1.5K,85.0
1066.49,2025-09-09 09:47:19,Sellable,LPNNC55DPXQWT,[B0DR8NJMCJ] ECOVACS DEEBOT X8 PRO OMNI,All / Amazon Products / 7004 Robotic Vacuums & Accessories,Sellable - Repaired - RPR,2025-09-04 11:13:11,2025-09-16 15:09:31,2025-09-04 11:13:11,1066.49,Print LPN label / Imprimir etiqueta LPN,,Passed,True,Failed,Failed,Passed,Failed,Failed,Passed,,,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Passed,Failed,Passed,Failed,Failed,,,Failed,,Failed,Passed,Failed,Passed,Passed,Failed,Failed,,,,,,,,0,$1K-$1.5K,4.0
1224.49,2025-09-09 12:57:39,Sellable,LPNNC5Y938SRF,[B0DZXFNVQ2] ECOVACS DEEBOT X9 PRO OMNI,All / Amazon Products / 7004 Robotic Vacuums & Accessories,Sellable - Repaired - RPR,2025-09-04 09:56:56,2025-09-16 15:09:31,2025-08-11 10:45:27,1224.49,Print LPN label / Imprimir etiqueta LPN,,Passed,True,Failed,Failed,Passed,Failed,Failed,Passed,,,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Passed,Failed,Passed,Failed,Failed,,,Failed,,Failed,Passed,Failed,Passed,Passed,Failed,Failed,,,,,,,,0,$1K-$1.5K,29.0
1147.49,2025-09-11 12:27:11,Liquidate,LPNNE58SH3XYP,[B0D9ZRH61T] iRobot X085020,All / Amazon Products / 7004 Robotic Vacuums & Accessories,Liquidate - Functional Issues - NRF,2025-09-10 13:46:56,2025-09-15 14:21:39,2025-08-13 08:25:54,1147.49,Print LPN label / Imprimir etiqueta LPN,,Passed,True,Failed,Failed,Passed,Failed,Failed,Passed,,,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,,,Failed,,Failed,Passed,Failed,Failed,Failed,Failed,Failed,,,,,,,,1,$1K-$1.5K,29.0
1124.99,2025-09-24 12:43:30,Liquidate,LPNNE54Z6GCKF,[B0CDPJ2C94] ECOVACS OZMOX2M,All / Amazon Products / 7004 Robotic Vacuums & Accessories,Liquidate - Functional Issues - NRF,2025-09-23 14:40:02,2025-09-26 14:42:18,2025-08-12 11:17:49,1124.99,Print LPN label / Imprimir etiqueta LPN,,Passed,True,Failed,Failed,Passed,Failed,Passed,Passed,,,Passed,Failed,Failed,Failed,Failed,Failed,Passed,Passed,Failed,Failed,Failed,Failed,Failed,,Passed,,,,,,Failed,,,Passed,Failed,Failed,Failed,Failed,Failed,,,,,,,,1,$1K-$1.5K,43.0
1224.49,2025-09-10 16:58:24,Sellable,LPNNA5JSJ1KL9,[B0DZXFNVQ2] ECOVACS DEEBOT X9 PRO OMNI,All / Amazon Products / 7004 Robotic Vacuums & Accessories,Sellable - Repaired - RPR,2025-09-04 10:07:42,2025-09-19 08:09:56,2025-09-04 10:07:42,1224.49,Print LPN label / Imprimir etiqueta LPN,,Passed,True,Failed,Failed,Passed,Failed,Failed,Passed,,,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Passed,Failed,Failed,Failed,Passed,,,Failed,,Failed,Passed,Failed,Passed,Passed,Failed,Failed,,,,,,,,0,$1K-$1.5K,6.0
